Transaction ID,Customer ID,Customer Name,Age,Gender,Location,Product ID,Product Name,Category,Quantity Purchased,Price per Unit ($),Total Purchase Amount ($),Purchase Date,Payment Method,Customer Feedback Score
1,CUST1418,Colton Garcia,32,Male,Jenkinschester,PROD513,Sneakers,Fashion,2,304.96,609.92,2023-05-28,Cash,2
2,CUST1796,Michele Rowe,22,Male,Robertmouth,PROD652,Comics,Books,4,452.13,1808.52,2024-01-19,Cryptocurrency,4
3,CUST4419,Melissa Rogers,20,Non-binary,West Kimberly,PROD639,Football,Sports,2,17.45,34.9,2023-05-17,Cash,5
4,CUST8052,Geoffrey Sweeney,65,Female,South Ashleyport,PROD286,Eggs,Grocery,4,137.73,550.92,2024-04-01,Debit Card,4
5,CUST7807,Amber Washington,26,Female,South Natalieview,PROD949,Biography,Books,5,227.51,1137.55,2023-11-12,Credit Card,1
6,CUST3601,Amanda Davis,60,Female,Masonshire,PROD721,Microwave,Home & Kitchen,5,141.65,708.25,2024-01-30,Cash,1
7,CUST6704,Rachel Jackson,21,Non-binary,Port Kevin,PROD900,Vegetables,Grocery,3,357.36,1072.08,2024-01-04,Cryptocurrency,3
8,CUST3398,Randy Watkins,39,Female,South Jeffreychester,PROD398,Dishwasher,Home & Kitchen,1,215.76,215.76,2024-11-08,Credit Card,4
9,CUST8637,Mary Martinez,18,Non-binary,Wadeburgh,PROD667,Fiction,Books,4,263.45,1053.8,2024-03-11,PayPal,1
10,CUST3908,Rhonda Montgomery,61,Non-binary,Lake Jenniferstad,PROD493,T-shirt,Fashion,5,139.27,696.35,2023-07-01,Cash,3
11,CUST5807,David Wood,49,Female,Lake Deborah,PROD297,Laptop,Electronics,4,138.8,555.2,2023-04-29,Credit Card,2
12,CUST1783,David Wilcox,63,Non-binary,Transide,PROD127,Sneakers,Fashion,1,113.24,113.24,2023-03-14,Cryptocurrency,2
13,CUST7832,Ryan Griffin,44,Male,South Robertview,PROD168,Vacuum Cleaner,Home & Kitchen,1,185.99,185.99,2024-11-11,Debit Card,3
14,CUST8442,Brittany Henry,18,Male,Port Douglasport,PROD582,Eggs,Grocery,5,86.47,432.35,2024-12-10,PayPal,5
15,CUST5114,Denise Martin,64,Non-binary,Lake Melissafurt,PROD850,Jeans,Fashion,2,278.47,556.94,2023-04-27,PayPal,2
16,CUST9365,Paula Hensley,51,Female,Vaughnborough,PROD184,Science,Books,3,93.01,279.03,2024-07-26,Cash,5
17,CUST5075,Gregory Briggs,30,Male,East Krista,PROD186,Running Shoes,Sports,1,281.0,281.0,2024-12-05,Cryptocurrency,5
18,CUST5021,Adam Allison,62,Non-binary,Philliphaven,PROD439,Headphones,Electronics,2,278.27,556.54,2023-10-06,Cryptocurrency,5
19,CUST9485,Gina Mendez,41,Female,Robertsville,PROD806,Microwave,Home & Kitchen,4,128.92,515.68,2023-10-28,Debit Card,5
20,CUST4365,Justin Weaver,19,Female,East Makayla,PROD815,Dumbbells,Sports,2,256.19,512.38,2024-05-31,Cryptocurrency,2
21,CUST8110,Jacob Simon,54,Female,Prestonland,PROD791,Tablet,Electronics,2,297.6,595.2,2024-03-09,PayPal,2
22,CUST6445,Jessica Rangel,53,Male,South Timothy,PROD482,Tennis Racket,Sports,2,65.89,131.78,2024-08-10,Credit Card,3
23,CUST1204,Veronica Lopez,43,Female,Feliciafort,PROD325,Vacuum Cleaner,Home & Kitchen,5,255.68,1278.4,2023-06-09,Credit Card,1
24,CUST5294,Dustin Gonzalez,54,Non-binary,Williamsonmouth,PROD438,Laptop,Electronics,3,342.12,1026.36,2024-03-17,Cash,2
25,CUST5945,George Gilmore,46,Non-binary,Lake Thomasmouth,PROD786,Sneakers,Fashion,2,415.52,831.04,2023-11-23,Cryptocurrency,1
26,CUST1320,Michele Woodward,56,Male,Port Kimberlymouth,PROD606,Yoga Mat,Sports,1,333.71,333.71,2023-08-01,Debit Card,1
27,CUST8499,Jessica Gonzalez,43,Female,Garyhaven,PROD778,Couch,Home & Kitchen,4,345.76,1383.04,2024-08-30,Cash,3
28,CUST3480,Jeffery Conrad,60,Non-binary,Davistown,PROD226,Milk,Grocery,4,393.77,1575.08,2023-08-14,PayPal,1
29,CUST3565,Michael Jenkins,27,Non-binary,Grantton,PROD105,Dishwasher,Home & Kitchen,4,114.63,458.52,2023-06-05,Cryptocurrency,3
